name,gender,height,weight,noc,game_year,age,is_host,Sport,AG.LND.TOTL.K2,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,NY.ADJ.NNTY.KD,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SH.XPD.CHEX.GD.ZS,SL.UEM.TOTL.ZS,SN.ITK.MSFI.ZS,SP.POP.GROW,SP.POP.TOTL
Kylie Masse,Female,173,61,CAN,2024,28.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Kyra Constantine,Female,175,63,CAN,2024,25.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Malindi Elmore,Female,168,53,CAN,2024,44.0,False,Athletics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Mario Deslauriers,Male,180,75,CAN,2024,59.0,False,Equestrian,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Maximilien Van Haaster,Male,185,88,CAN,2024,32.0,False,Fencing,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Michael Winter,Male,180,75,GER,2024,49.0,False,Equestrian,348933.84717080905,100.0,100.0,240.5196466662684,3161225748103.3594,1.227853576827158,3788606664785.0312,0.4048051904278651,45743.56582043611,0.3415130483408433,12.530716949822107,3.635719696969659,3.307142857142864,0.0705778372595844,84072955.73214287
Michelle Li,Female,172,66,CAN,2024,32.0,False,Badminton,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Michelle Plouffe,Female,190,82,CAN,2024,31.0,False,Basketball 3x3,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Milos Raonic,Male,196,90,CAN,2024,33.0,False,Tennis,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Mo Zhang,Female,173,57,CAN,2024,35.0,False,Table Tennis,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Natalie Achonwa,Female,190,86,CAN,2024,31.0,False,Basketball - Women's,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Nichelle Prince,Female,163,65,CAN,2024,29.0,False,Soccer,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Nick Hoag,Male,200,91,CAN,2024,31.0,False,Volleyball,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Nirra Fields,Female,170,57,CAN,2024,30.0,False,Basketball - Women's,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Penny Oleksiak,Female,185,68,CAN,2024,24.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Rebecca Smith,Female,174,64,NZL,2024,24.0,False,Swimming,263310.0,100.0,100.0,18.752794173175232,160538313086.3086,1.8861318089801105,195353380416.76956,2.321830644461219,41060.92993454309,1.1301284400892655,10.347480288311658,3.325587121212095,17.9571428571428,1.1264551502197593,4973026.488095239
René Cournoyer,Male,165,64,CAN,2024,27.0,False,Gymnastics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Shallon Olsen,Female,158,52,CAN,2024,24.0,False,Gymnastics,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015803,38803944.891369104
Sydney Pickrem,Female,170,54,CAN,2024,27.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Taylor Ruck,Female,180,60,CAN,2024,24.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Tyler Mislawchuk,Male,172,59,CAN,2024,29.0,False,Triathlon,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
Yuri Kisil,Male,198,84,CAN,2024,28.0,False,Swimming,8953429.397144368,100.0,100.0,4.314499448138392,1440632260787.8594,1.598777636099868,1743957297993.789,1.1151982898125112,47979.40640270442,0.1189871696382312,12.30488926371538,5.709577651515133,9.420000000000073,0.9998358641015804,38803944.891369104
